CHG1AY3,constant,CONTROL,default,EFYTOTLT,gr,INSTNM,lat,linked_name,lon,netprice,online,ownership,ownershipcolor,popup,RET_PCF,salary,SATMT75,SATVR75,selectivity,testing,testingcolors,TestScoresRequired,totsize,type,typecolors,netprice_trimmed,size_trimmed,totsize_trimmed,tuition
9366.0,1.0,1,17.2,4549,31.0,Alabama A & M University,34.783368,<a href='http://www.aamu.edu/' target='_blank'>Alabama A & M University</a>,-86.568502,13203,,Public,#1B9E77,"<a href='http://www.aamu.edu/' target='_blank'>Alabama A & M University</a><br/>Master's Colleges, Public, <br/>Undergrad size: 4,549 (51% women)<br/>Total size: 5,872<br/>Tuition and fees: $9,366<br/>Avg net price: $13,203<br/>SAT math (25th-75th pctile): 360-480<br/>SAT verbal (25th-75th pctile): 383-470<br/>Admit rate: 65%<br/>Graduation rate: 31%<br/>First-year retention: 58%<br/>Median salary (6yrs after): $22,000<br/>Default rate: 17%",58,22e3,480,470,35.0,Required,#66C2A5,TRUE,5872,Master's Colleges,#D95F02,13203.0,4549.0,4549.0,9366.0
7766.0,1.0,1,6.2,13465,55.0,University of Alabama at Birmingham,33.50223,<a href='http://www.uab.edu' target='_blank'>University of Alabama at Birmingham</a>,-86.80917,15772,,Public,#1B9E77,"<a href='http://www.uab.edu' target='_blank'>University of Alabama at Birmingham</a><br/>Doctoral Universities, Public, <br/>Undergrad size: 13,465 (58% women)<br/>Total size: 21,720<br/>Tuition and fees: $7,766<br/>Avg net price: $15,772<br/>SAT math (25th-75th pctile): 520-668<br/>SAT verbal (25th-75th pctile): 520-630<br/>Admit rate: 60%<br/>Graduation rate: 55%<br/>First-year retention: 79%<br/>Median salary (6yrs after): $33,300<br/>Default rate: 6%",79,33300.0,668,630,40.0,Required,#66C2A5,TRUE,21720,Doctoral Universities,#1B9E77,15772.0,13465.0,13465.0,7766.0
6900.0,1.0,2,12.2,401,NA,Amridge University,32.362609,<a href='http://www.amridgeuniversity.edu' target='_blank'>Amridge University</a>,-86.17401,4613,Online Only,Private non-profit,#7570B3,"<a href='http://www.amridgeuniversity.edu' target='_blank'>Amridge University</a><br/>Master's Colleges, Private non-profit, Online Only<br/>Undergrad size: 401 (55% women)<br/>Total size: 860<br/>Tuition and fees: $6,900<br/>Avg net price: $4,613<br/>SAT math (25th-75th pctile): NA-NA<br/>SAT verbal (25th-75th pctile): NA-NA<br/>Admit rate: NA%<br/>Graduation rate: NA%<br/>First-year retention: 67%<br/>Median salary (6yrs after): $35,200<br/>Default rate: 12%",67,35200.0,NA,NA,NA,NA,NA,NA,860,Master's Colleges,#D95F02,4613.0,401.0,401.0,6900.0
9128.0,1.0,1,6.1,6540,49.0,University of Alabama in Huntsville,34.722818,<a href='http://www.uah.edu' target='_blank'>University of Alabama in Huntsville</a>,-86.63842,13737,,Public,#1B9E77,"<a href='http://www.uah.edu' target='_blank'>University of Alabama in Huntsville</a><br/>Doctoral Universities, Public, <br/>Undergrad size: 6,540 (43% women)<br/>Total size: 8,588<br/>Tuition and fees: $9,128<br/>Avg net price: $13,737<br/>SAT math (25th-75th pctile): 550-680<br/>SAT verbal (25th-75th pctile): 520-650<br/>Admit rate: 81%<br/>Graduation rate: 49%<br/>First-year retention: 80%<br/>Median salary (6yrs after): $35,900<br/>Default rate: 6%",80,35900.0,680,650,19.0,Required,#66C2A5,TRUE,8588,Doctoral Universities,#1B9E77,13737.0,6540.0,6540.0,9128.0
8720.0,1.0,1,15.6,5456,27.0,Alabama State University,32.364317,<a href='http://www.alasu.edu' target='_blank'>Alabama State University</a>,-86.295677,10977,,Public,#1B9E77,"<a href='http://www.alasu.edu' target='_blank'>Alabama State University</a><br/>Master's Colleges, Public, <br/>Undergrad size: 5,456 (61% women)<br/>Total size: 6,261<br/>Tuition and fees: $8,720<br/>Avg net price: $10,977<br/>SAT math (25th-75th pctile): 360-460<br/>SAT verbal (25th-75th pctile): 370-450<br/>Admit rate: 46%<br/>Graduation rate: 27%<br/>First-year retention: 60%<br/>Median salary (6yrs after): $20,300<br/>Default rate: 16%",60,20300.0,460,450,54.0,Required,#66C2A5,TRUE,6261,Master's Colleges,#D95F02,10977.0,5456.0,5456.0,8720.0
10170.0,1.0,1,6.3,33809,67.0,The University of Alabama,33.2144,<a href='http://www.ua.edu/' target='_blank'>The University of Alabama</a>,-87.545766,18814,,Public,#1B9E77,"<a href='http://www.ua.edu/' target='_blank'>The University of Alabama</a><br/>Doctoral Universities, Public, <br/>Undergrad size: 33,809 (54% women)<br/>Total size: 40,268<br/>Tuition and fees: $10,170<br/>Avg net price: $18,814<br/>SAT math (25th-75th pctile): 490-610<br/>SAT verbal (25th-75th pctile): 490-600<br/>Admit rate: 54%<br/>Graduation rate: 67%<br/>First-year retention: 86%<br/>Median salary (6yrs after): $33,200<br/>Default rate: 6%",86,33200.0,610,600,46.0,Required,#66C2A5,TRUE,40268,Doctoral Universities,#1B9E77,18814.0,33809.0,33809.0,10170.0
4320.0,1.0,1,21.9,2439,NA,Central Alabama Community College,32.924429,<a href='http://www.cacc.edu' target='_blank'>Central Alabama Community College</a>,-85.94653,5798,,Public,#1B9E77,"<a href='http://www.cacc.edu' target='_blank'>Central Alabama Community College</a><br/>Associate's Colleges, Public, <br/>Undergrad size: 2,439 (59% women)<br/>Total size: 2,439<br/>Tuition and fees: $4,320<br/>Avg net price: $5,798<br/>SAT math (25th-75th pctile): NA-NA<br/>SAT verbal (25th-75th pctile): NA-NA<br/>Admit rate: NA%<br/>Graduation rate: NA%<br/>First-year retention: 52%<br/>Median salary (6yrs after): $23,800<br/>Default rate: 22%",52,23800.0,NA,NA,NA,NA,NA,NA,2439,Associate's Colleges,#E7298A,5798.0,2439.0,2439.0,4320.0
NA,1.0,1,8.6,4304,NA,Athens State University,34.805625,<a href='http://www.athens.edu' target='_blank'>Athens State University</a>,-86.96514,NA,,Public,#1B9E77,"<a href='http://www.athens.edu' target='_blank'>Athens State University</a><br/>Baccalaureate Colleges, Public, <br/>Undergrad size: 4,304 (64% women)<br/>Total size: 4,304<br/>Tuition and fees: $NA<br/>Avg net price: $NA<br/>SAT math (25th-75th pctile): NA-NA<br/>SAT verbal (25th-75th pctile): NA-NA<br/>Admit rate: NA%<br/>Graduation rate: NA%<br/>First-year retention: NA%<br/>Median salary (6yrs after): $33,600<br/>Default rate: 9%",NA,33600.0,NA,NA,NA,NA,NA,NA,4304,Baccalaureate Colleges,#7570B3,NA,4304.0,4304.0,NA
9350.0,1.0,1,10.6,5272,22.0,Auburn University at Montgomery,32.369939,<a href='http://www.aum.edu' target='_blank'>Auburn University at Montgomery</a>,-86.177351,13445,,Public,#1B9E77,"<a href='http://www.aum.edu' target='_blank'>Auburn University at Montgomery</a><br/>Master's Colleges, Public, <br/>Undergrad size: 5,272 (63% women)<br/>Total size: 6,194<br/>Tuition and fees: $9,350<br/>Avg net price: $13,445<br/>SAT math (25th-75th pctile): 470-540<br/>SAT verbal (25th-75th pctile): 450-520<br/>Admit rate: 79%<br/>Graduation rate: 22%<br/>First-year retention: 65%<br/>Median salary (6yrs after): $28,300<br/>Default rate: 11%",65,28300.0,540,520,21.0,Required,#66C2A5,TRUE,6194,Master's Colleges,#D95F02,13445.0,5272.0,5272.0,9350.0
10424.0,1.0,1,4.5,21728,73.0,Auburn University,32.604685,<a href='http://www.auburn.edu' target='_blank'>Auburn University</a>,-85.482782,21457,,Public,#1B9E77,"<a href='http://www.auburn.edu' target='_blank'>Auburn University</a><br/>Doctoral Universities, Public, <br/>Undergrad size: 21,728 (48% women)<br/>Total size: 27,761<br/>Tuition and fees: $10,424<br/>Avg net price: $21,457<br/>SAT math (25th-75th pctile): 540-650<br/>SAT verbal (25th-75th pctile): 530-630<br/>Admit rate: 78%<br/>Graduation rate: 73%<br/>First-year retention: 90%<br/>Median salary (6yrs after): $36,400<br/>Default rate: 4%",90,36400.0,650,630,22.0,Required,#66C2A5,TRUE,27761,Doctoral Universities,#1B9E77,21457.0,21728.0,21728.0,10424.0
